cohort_type,cohort,count,observed_default_rate,mean_predicted_default,brier_score,roc_auc,approval_rate,approved_default_rate,expected_profit,realized_profit
year,2016,96498,0.2458600178242036,0.2310427136941814,0.17005728613091337,0.690029971658481,0.45235134406930716,0.17124464502531442,39996578.52180354,-4318110.955047949
year,2017,91366,0.2335879867784515,0.2225216675984785,0.16374785271168618,0.6987540992679238,0.498686601142657,0.16746043939161162,43878503.725982115,-22465415.647907842
quarter,2016Q3,39167,0.2559552684658003,0.23494691269652823,0.17357087984539038,0.6940245724307035,0.43120484080986543,0.17283438924743916,15247280.394008398,-960813.2217372697
quarter,2016Q4,57331,0.23896321361915893,0.22837546975416778,0.16765689323675617,0.6868856076850199,0.4667980673632066,0.17024138704132724,24749298.12779514,-3357297.733310679
quarter,2017Q1,46874,0.2293595596706063,0.22195074407012416,0.16204586032226095,0.6978048262654556,0.49662926142424374,0.16654495468018385,22584934.455691718,-8662996.12321313
quarter,2017Q2,44492,0.23804279421019509,0.2231231570677781,0.16554096588398493,0.6997627398139363,0.5008540861278432,0.1684168012924071,21293569.270290397,-13802419.524694717
month,2016-08,22258,0.2615688741126786,0.2342029199522066,0.17685014835365886,0.6895004411728191,0.42515050768263096,0.17859029905949486,8346335.653446883,-651756.8744841783
month,2016-09,16909,0.24856585250458335,0.23592626041094722,0.16925424619129853,0.7007527416180396,0.43917440416346326,0.16549959601400485,6900944.740561517,-309056.3472530912
month,2016-10,18957,0.22450809727277524,0.22617952035334216,0.16084832102718674,0.686866595630802,0.4641557208419054,0.15535856347312194,8193431.275227414,739998.0115899828
month,2016-11,18998,0.2427623960416886,0.22527732340937284,0.16950099284995065,0.6872112281756053,0.4787346036424887,0.17460142935678943,8393231.549679082,-1046782.064075594
month,2016-12,19376,0.24938067712634188,0.2335616380577323,0.17251010849921186,0.6860566676752526,0.45767960363336085,0.18053676138926478,8162635.302888645,-3050513.6808250686
month,2017-01,16395,0.22689844464775846,0.2251393658613549,0.16068718918868824,0.7006755954274565,0.48703873132052455,0.15842204132748905,7767071.360583284,-1455498.1490600407
month,2017-02,13468,0.23217998217998218,0.2214098420491526,0.16358274994614608,0.6941758067796672,0.4986634986634987,0.17376414532459797,6617792.114984846,-2641845.5931903953
month,2017-03,17011,0.22949855975545236,0.21930583278632057,0.1621385405750644,0.6981308362631905,0.5042619481511963,0.1684541851247377,8200070.980123587,-4565652.380962693
month,2017-04,13104,0.2380189255189255,0.2230670626926178,0.16476018162133446,0.7057505463067959,0.5003815628815629,0.16684459356412995,6249700.550116304,-3328927.7040086184
month,2017-05,16153,0.23946016219897232,0.22364098955977763,0.16710687408996588,0.6933715543332916,0.49148764935306133,0.17118024940168786,7618469.194879206,-5349503.402628067
month,2017-06,15235,0.2365605513619954,0.22262237022490522,0.164552274169286,0.7014224443822915,0.5111913357400723,0.16692347200821778,7425399.525294889,-5123988.41805803
