decile_type,decile,count,observed_default_rate,mean_expected_profit,mean_realized_profit,cumulative_realized_profit
risk,1,18787,0.05562356948954064,675.606174753415,365.02321781253846,6857691.19304416
risk,2,18786,0.10390716491003939,562.4193103228113,199.67773319544418,10608837.088853773
risk,3,18786,0.14122218673480252,524.9319184998944,60.93819074643061,11753621.940216217
risk,4,18787,0.18012455421301965,320.7027792744268,-134.11319602260744,9234037.32653949
risk,5,18786,0.2114340466304695,199.8539222024881,-279.97167860028884,3974489.3723544646
risk,6,18786,0.239061002874481,-108.60213030014455,-495.00474187926693,-5324669.708589444
risk,7,18787,0.2865279182413371,-428.31130558571795,-877.7451562972248,-21814867.959945403
risk,8,18786,0.32119663579261154,-881.5909356443447,-1236.8363301897118,-45050075.25888933
risk,9,18786,0.3801234962205898,-1538.2764617127527,-1884.3411944757024,-80449308.93830988
risk,10,18787,0.4796934050141055,-3139.224879774809,-3546.4490387336914,-147076447.02899975
expected_return,1,18787,0.41550007984244425,-4181.735559764349,-2443.4105077135123,-45904353.20841376
expected_return,2,18786,0.3344511870541893,-1992.7305673520823,-1354.3666543359595,-71347485.1767691
expected_return,3,18786,0.2944213776216331,-1188.0494568538659,-999.8908886797055,-90131435.41150604
expected_return,4,18787,0.2690158088039602,-654.4484847005734,-881.9015803878572,-106699720.40225272
expected_return,5,18786,0.2300117108485042,-250.1899058319252,-624.862547447642,-118438388.21860412
expected_return,6,18786,0.18891727882465667,63.90740641594467,-363.9105970086821,-125274812.69400921
expected_return,7,18787,0.16447543514132112,291.8127667101224,-248.37997705705243,-129941127.32298006
expected_return,8,18786,0.13313105504098796,524.7007267954556,-71.82055221663752,-131290348.2169218
expected_return,9,18786,0.13781539444267007,835.792764255023,-208.8579059081461,-135213952.83731225
expected_return,10,18787,0.23117049023260766,2738.4079664986366,-631.4203540579917,-147076447.02899975
