selected_percent,selected_count,expected_profit,realized_profit,mean_realized_profit,profit_per_funded_dollar,approved_default_rate
0.1,18787,51446470.46660989,-11862494.191687493,-631.4203540579919,0.14776308596620355,0.23117049023260766
0.2,37573,67164440.0176656,-15770234.863968477,-419.7225365014366,0.11394588177405979,0.18446756979746096
0.3,56360,77006300.34016031,-17149539.773057256,-304.2856595645361,0.09374027812858259,0.1674414478353442
0.4,75146,82490065.65373603,-21784062.643281333,-289.88984966972737,0.07811899353642411,0.1666489234290581
0.5,93932,83687552.17459717,-28638058.81039562,-304.8807521440576,0.06424684297225165,0.17110249968062002
0.6,112719,78986964.99565302,-40376720.03674702,-358.20686873328384,0.05111033526772778,0.18091892227574766
0.7,131505,66694341.84472717,-56946625.795479774,-433.0377232461106,0.03705289433820947,0.19352876316489867
0.8,150292,44370978.54167921,-75724605.08759223,-503.84987283150286,0.021530221030687087,0.20611875548931413
0.9,169078,6961556.397026608,-101110804.57667804,-598.0127785795789,0.0029779645231013817,0.2203539194927785
1.0,187864,-71624038.57445681,-147076447.02899975,-782.8878711674389,-0.026888014617612175,0.2398916237278031
